Numero,Area,Centroide_x,Centroide_y,R,G,B
1,68,3.5,71.36764705882354,0,255,0
2,417,12.052757793764988,106.70503597122303,0,0,255
3,305,6.275409836065574,130.51803278688524,255,255,0
4,183,4.808743169398907,190.87431693989072,128,0,0
5,493,16.651115618661258,23.375253549695742,0,128,0
6,727,38.5818431911967,236.25722145804676,0,0,128
7,470,60.340425531914896,57.59148936170213,0,255,255
8,554,65.42418772563177,156.86101083032491,255,0,255
9,573,100.35951134380454,64.6893542757417,128,0,128
10,528,123.02083333333333,215.78219696969697,0,128,0
11,633,128.77251184834122,245.35387045813587,166,208,92
12,547,136.42595978062158,175.48263254113346,131,214,167
13,515,134.89126213592232,105.85242718446602,180,71,209
14,974,167.21149897330596,17.014373716632445,218,121,144
15,501,158.2574850299401,150.24550898203591,255,0,0
16,544,163.27941176470588,64.00367647058823,0,255,0
17,503,171.08349900596423,197.9741550695825,0,0,255
18,1,180.0,0.0,255,255,0
19,329,195.57142857142858,248.93313069908814,128,0,0
20,676,210.15976331360946,65.89349112426035,0,128,0
21,765,220.61045751633986,119.03006535947712,0,0,128
22,260,220.5346153846154,241.8923076923077,0,255,255
23,574,233.77526132404182,157.9651567944251,255,0,255
24,39,252.97435897435898,234.4102564102564,128,0,128
